IP Address,MAC Address,Device Name,Subnet,Device Type,VLAN,Location,Active,Last Seen,Serial Number,Manufacturer,Model,Firmware Version,Managed By,Assignment Type,Timestamp,Criticality,Network Purpose,DNS Records,IP Assignment Date,Change Reference
10.4.47.210,78:9E:73:65:4B:0C,SFO-DC1-S37,10.4.47.0/24,Layer 3 Switch,605,SFO-DC1-R1-C4,Active,2024-08-04T08:28:02Z,FOH11H11HH,Cisco,Catalyst 9300-48P,IOS XE 17.7.6,Security Infrastructure Team,Static,2024-08-04T08:28:02Z,High,Voice Network,sfo-dc1-s37.global.org,2023-05-22T02:26:12Z,CHG83060
10.2.162.244,E2:DA:E4:51:F3:E6,NYC-DC2-S18,10.2.162.0/24,Switch,1113,NYC-DC2-R6-C11,Active,2024-07-31T16:00:21Z,FOY44Y44YY,Cisco,Nexus 9336C-FX2,IOS XE 17.1.4,Security Infrastructure Team,Static,2024-07-31T16:00:21Z,Low,User Access,nyc-dc2-s18.corp.local,2023-09-28T08:30:54Z,CHG30028
10.2.238.107,1F:69:D7:C7:0A:C2,NYC-DC2-S53,10.2.238.0/24,Switch,1786,NYC-DC2-R8-C1,Active,2024-08-15T14:18:32Z,FOA66A66AA,Cisco,Catalyst 9500-32C,IOS XE 16.7.3,Network Operations Team,Reserved,2024-08-15T14:18:32Z,Medium,User Access,nyc-dc2-s53.global.org,2024-02-07T20:13:37Z,CHG31632
10.7.42.165,DB:45:EC:5D:19:85,SIN-DC1-S51,10.7.42.0/24,Switch,80,SIN-DC1-R9-C2,Active,2024-10-31T05:56:41Z,FOK55K55KK,Cisco,Catalyst 9500-32C,IOS XE 17.4.1,Security Infrastructure Team,Reserved,2024-10-31T05:56:41Z,High,Voice Network,sin-dc1-s51.company.com,2024-02-29T23:59:14Z,CHG95426
10.1.78.62,40:F2:3A:6F:EE:83,NYC-DC1-S26,10.1.78.0/24,Switch,3720,NYC-DC1-R7-C13,Active,2025-01-19T15:42:06Z,FOF11F11FF,Cisco,Nexus 9336C-FX2,IOS XE 16.4.9,Core Network Team,Reserved,2025-01-19T15:42:06Z,Low,DMZ,nyc-dc1-s26.corp.local,2023-06-11T04:09:23Z,CHG49529
10.2.189.18,AE:06:D7:FA:36:DD,NYC-DC1-S45,10.2.189.0/24,Switch,1981,NYC-DC1-R8-C14,Active,2025-02-26T10:32:56Z,FOU22U22UU,Cisco,Nexus 9336C-FX2,IOS XE 17.9.8,Network Operations Team,Static,2025-02-26T10:32:56Z,High,Voice Network,nyc-dc1-s45.company.com,2023-08-18T22:10:01Z,CHG69087
10.6.253.218,A6:5D:F9:6C:B5:84,SYD-DC1-S44,10.6.253.0/24,Switch,2275,SYD-DC1-R4-C16,Active,2024-11-07T08:14:35Z,FOI44I44II,Cisco Systems,Nexus 9336C-FX2,IOS XE 16.3.6,Global Network Services,Static,2024-11-07T08:14:35Z,Medium,Management Network,syd-dc1-s44.company.com,2023-08-24T20:50:30Z,CHG39045
10.4.242.142,B0:D9:A9:B4:E8:8A,SFO-DC2-S85,10.4.242.0/24,L2 Switch,1984,SFO-DC2-R5-C19,Active,2025-02-12T10:39:42Z,FOI33I33II,Cisco Systems,Nexus 9336C-FX2,IOS XE 16.3.3,Core Network Team,Static,2025-02-12T10:39:42Z,High,IoT Connectivity,sfo-dc2-s85.enterprise.net,2023-07-29T22:39:51Z,CHG57301
10.1.27.142,95:40:FB:34:06:91,NYC-DC1-S36,10.1.27.0/24,Switch,2364,NYC-DC1-R1-C5,Active,2024-05-30T08:51:48Z,FOP22P22PP,Cisco Systems,Catalyst 9500-32C,IOS XE 16.6.7,Enterprise Network Team,DHCP,2024-05-30T08:51:48Z,Low,Voice Network,nyc-dc1-s36.company.com,2023-08-06T23:40:29Z,CHG25525
10.6.230.233,E2:98:DB:9C:1E:32,SYD-DC1-S67,10.6.230.0/24,Switch,1846,SYD-DC1-R10-C16,Active,2024-10-07T06:01:38Z,FOU11U11UU,Cisco Systems,Catalyst 9200-24P,IOS XE 16.2.0,Core Network Team,Static,2024-10-07T06:01:38Z,Low,Voice Network,syd-dc1-s67.enterprise.net,2024-02-01T03:40:24Z,CHG47056
10.6.135.202,65:D9:3A:73:4C:88,SYD-DC1-S88,10.6.135.0/24,Switch,1649,SYD-DC1-R5-C17,Active,2025-01-28T08:21:29Z,FOC44C44CC,Cisco,Catalyst 9200-24P,IOS XE 16.7.4,Global Network Services,Static,2025-01-28T08:21:29Z,Low,IoT Connectivity,syd-dc1-s88.company.com,2024-04-12T00:23:22Z,CHG66626
10.7.117.247,0A:89:14:59:F0:E2,SIN-DC1-S04,10.7.117.0/24,Switch,659,SIN-DC1-R6-C14,Active,2025-03-30T17:01:09Z,FOF77F77FF,Cisco,Nexus 9336C-FX2,IOS XE 17.5.1,Network Operations Team,Reserved,2025-03-30T17:01:09Z,High,Server Farm,sin-dc1-s04.global.org,2024-03-13T13:21:09Z,CHG82102
10.2.59.249,CE:00:EC:D3:1B:60,NYC-DC2-S33,10.2.59.0/24,Switch,2861,NYC-DC2-R8-C4,Active,2025-04-08T16:27:10Z,FOT77T77TT,Cisco,Nexus 9336C-FX2,IOS XE 16.4.7,Enterprise Network Team,Static,2025-04-08T16:27:10Z,High,DMZ,nyc-dc2-s33.corp.local,2023-08-31T06:46:07Z,CHG82199
10.6.60.166,4E:FF:95:8B:D4:F7,SYD-DC1-S15,10.6.60.0/24,Switch,3236,SYD-DC1-R7-C11,Active,2025-02-25T16:13:18Z,FOH22H22HH,Cisco,Catalyst 9500-32C,IOS XE 16.1.4,Core Network Team,DHCP,2025-02-25T16:13:18Z,Low,Management Network,syd-dc1-s15.enterprise.net,2024-03-22T20:12:31Z,CHG86931
10.6.176.86,C1:E9:A4:60:7A:C4,SYD-DC1-S58,10.6.176.0/24,Switch,2058,SYD-DC1-R10-C11,Active,2024-06-19T15:04:04Z,FOY55Y55YY,Cisco,Catalyst 9200-24P,IOS XE 16.7.0,Global Network Services,Static,2024-06-19T15:04:04Z,Medium,Voice Network,syd-dc1-s58.global.org,2023-05-08T13:25:02Z,CHG28894
10.4.173.160,CB:29:A8:C2:A2:F9,SFO-DC1-S61,10.4.173.0/24,Switch,1227,SFO-DC1-R1-C2,Active,2025-01-26T02:55:37Z,FOT44T44TT,Cisco,Catalyst 9300-48P,IOS XE 16.7.2,Core Network Team,DHCP,2025-01-26T02:55:37Z,High,User Access,sfo-dc1-s61.enterprise.net,2023-09-25T04:08:22Z,CHG66450
10.7.87.45,28:C3:7B:FE:49:76,SIN-DC1-S73,10.7.87.0/24,Switch,4046,SIN-DC1-R10-C10,Active,2024-09-12T19:16:21Z,FOU44U44UU,Cisco,Catalyst 9500-32C,IOS XE 16.1.7,Network Operations Team,DHCP,2024-09-12T19:16:21Z,Medium,Core Infrastructure,sin-dc1-s73.enterprise.net,2023-07-18T23:12:16Z,CHG60422
10.4.151.180,97:0B:CA:8C:04:19,SFO-DC2-S74,10.4.151.0/24,Switch,3095,SFO-DC2-R3-C4,Active,2025-01-19T19:35:24Z,FOJ33J33JJ,Cisco,Catalyst 9500-32C,IOS XE 16.9.4,Network Operations Team,DHCP,2025-01-19T19:35:24Z,Low,User Access,sfo-dc2-s74.company.com,2023-12-13T16:23:12Z,CHG57823
10.2.89.52,43:BB:8B:54:83:F6,NYC-DC2-S42,10.2.89.0/24,Switch,507,NYC-DC2-R8-C12,Active,2024-11-25T23:35:02Z,FOH66H66HH,Cisco,Nexus 9336C-FX2,IOS XE 17.0.4,Enterprise Network Team,DHCP,2024-11-25T23:35:02Z,High,Server Farm,nyc-dc2-s42.enterprise.net,2023-06-13T16:13:34Z,CHG98452
10.1.32.163,ED:9A:D1:3B:47:17,NYC-DC2-S79,10.1.32.0/24,Switch,2406,NYC-DC2-R3-C14,Active,2024-10-11T08:54:43Z,FOJ11J11JJ,Cisco,Catalyst 9300-48P,IOS XE 17.5.8,Global Network Services,Reserved,2024-10-11T08:54:43Z,High,Management Network,nyc-dc2-s79.global.org,2024-05-01T06:58:35Z,CHG46666
10.5.120.219,B9:32:BC:B7:1F:CB,LON-DC1-S57,10.5.120.0/24,Switch,2313,LON-DC1-R4-C3,Active,2025-03-03T05:32:06Z,FOG11G11GG,Cisco,Nexus 9336C-FX2,IOS XE 17.3.2,Enterprise Network Team,Static,2025-03-03T05:32:06Z,Low,Core Infrastructure,lon-dc1-s57.corp.local,2023-09-07T04:45:52Z,CHG29340
10.5.89.29,0D:43:07:B7:79:A5,LON-DC1-S17,10.5.89.0/24,Switch,1483,LON-DC1-R9-C19,Active,2025-02-27T18:00:42Z,FOF22F22FF,Cisco,Catalyst 9300-48P,IOS XE 16.7.7,Global Network Services,Reserved,2025-02-27T18:00:42Z,Low,Voice Network,lon-dc1-s17.corp.local,2023-12-27T11:34:43Z,CHG15683
10.7.31.123,CD:DA:37:FB:E3:25,SIN-DC1-S59,10.7.31.0/24,Switch,1208,SIN-DC1-R8-C17,Active,2024-11-23T15:30:56Z,FOK11K11KK,Cisco,Catalyst 9300-48P,IOS XE 17.6.9,Core Network Team,Reserved,2024-11-23T15:30:56Z,Low,Voice Network,sin-dc1-s59.company.com,2024-03-28T18:58:18Z,CHG95814
10.7.116.106,AD:E8:CC:D4:30:A0,SIN-DC1-S56,10.7.116.0/24,L2 Switch,3579,SIN-DC1-R7-C2,Active,2024-09-15T22:08:25Z,FOC11C11CC,Cisco Systems,Catalyst 9500-32C,IOS XE 17.1.6,Enterprise Network Team,DHCP,2024-09-15T22:08:25Z,Low,User Access,sin-dc1-s56.enterprise.net,2023-06-11T19:59:41Z,CHG85748
10.3.179.217,BC:3A:8E:73:DB:0D,SFO-DC2-S29,10.3.179.0/24,Switch,582,SFO-DC2-R1-C3,Active,2024-05-28T14:57:02Z,FOA44A44AA,Cisco Systems,Nexus 9336C-FX2,IOS XE 16.9.6,Global Network Services,DHCP,2024-05-28T14:57:02Z,Medium,IoT Connectivity,sfo-dc2-s29.global.org,2023-09-11T23:44:54Z,CHG30631
10.5.80.194,19:29:8B:E2:D9:F8,LON-DC1-S07,10.5.80.0/24,Switch,2733,LON-DC1-R5-C2,Active,2024-11-22T05:44:57Z,FON88N88NN,Cisco Systems,Catalyst 9500-32C,IOS XE 17.9.7,Global Network Services,Reserved,2024-11-22T05:44:57Z,Medium,User Access,lon-dc1-s07.company.com,2023-05-05T14:00:58Z,CHG36794
10.4.61.2,FE:DC:59:42:C2:75,SFO-DC2-S38,10.4.61.0/24,Switch,1657,SFO-DC2-R7-C10,Active,2024-12-10T06:50:23Z,FOC00C00CC,Cisco,Nexus 9336C-FX2,IOS XE 17.9.6,Global Network Services,Static,2024-12-10T06:50:23Z,Medium,Voice Network,sfo-dc2-s38.enterprise.net,2023-07-08T08:20:29Z,CHG91018
10.5.124.112,CD:28:CA:9E:AD:71,LON-DC1-S56,10.5.124.0/24,Switch,422,LON-DC1-R3-C9,Active,2024-08-01T08:33:10Z,FOY88Y88YY,Cisco,Nexus 9336C-FX2,IOS XE 17.5.2,Security Infrastructure Team,Reserved,2024-08-01T08:33:10Z,High,User Access,lon-dc1-s56.corp.local,2024-02-21T20:05:15Z,CHG95918
10.6.165.222,A1:4D:E1:22:F0:E2,SYD-DC1-S97,10.6.165.0/24,Switch,1511,SYD-DC1-R5-C3,Active,2024-05-23T16:37:16Z,FOZ00Z00ZZ,Cisco,Nexus 9336C-FX2,IOS XE 17.7.0,Enterprise Network Team,Reserved,2024-05-23T16:37:16Z,Low,Voice Network,syd-dc1-s97.global.org,2023-10-29T07:09:09Z,CHG86064
10.1.164.155,F3:4D:1F:E6:34:AF,NYC-DC2-S74,10.1.164.0/24,Switch,1159,NYC-DC2-R7-C14,Active,2025-04-23T02:09:30Z,FOQ00Q00QQ,Cisco,Catalyst 9300-48P,IOS XE 16.5.5,Enterprise Network Team,Static,2025-04-23T02:09:30Z,High,DMZ,nyc-dc2-s74.enterprise.net,2023-05-28T04:42:37Z,CHG53213
10.6.170.21,48:B3:9E:C8:42:2B,SYD-DC1-S33,10.6.170.0/24,Switch,1486,SYD-DC1-R5-C6,Active,2024-05-08T16:17:18Z,FOR55R55RR,Cisco,Nexus 9336C-FX2,IOS XE 17.8.5,Network Operations Team,DHCP,2024-05-08T16:17:18Z,High,Core Infrastructure,syd-dc1-s33.corp.local,2023-07-29T13:54:06Z,CHG28030
10.5.172.225,43:C0:4E:53:5C:54,LON-DC1-S65,10.5.172.0/24,Switch,1268,LON-DC1-R8-C7,Active,2024-08-02T11:34:46Z,FOB33B33BB,Cisco,Catalyst 9500-32C,IOS XE 17.3.8,Enterprise Network Team,DHCP,2024-08-02T11:34:46Z,Medium,DMZ,lon-dc1-s65.global.org,2024-02-25T10:03:16Z,CHG46932
10.7.70.224,80:1A:F6:BE:34:3F,SIN-DC1-S21,10.7.70.0/24,Switch,1536,SIN-DC1-R4-C1,Active,2024-06-02T06:59:07Z,FOC55C55CC,Cisco,Nexus 9336C-FX2,IOS XE 17.3.6,Core Network Team,Reserved,2024-06-02T06:59:07Z,High,Core Infrastructure,sin-dc1-s21.enterprise.net,2024-03-04T22:34:10Z,CHG29142
10.5.240.115,02:28:09:83:6E:4C,LON-DC1-S90,10.5.240.0/24,Switch,455,LON-DC1-R8-C20,Active,2024-05-25T23:46:21Z,FOD33D33DD,Cisco,Catalyst 9500-32C,IOS XE 17.9.7,Enterprise Network Team,Reserved,2024-05-25T23:46:21Z,Medium,Server Farm,lon-dc1-s90.corp.local,2024-02-05T15:41:09Z,CHG28818
10.2.95.171,2B:B8:22:0A:C7:F0,NYC-DC2-S31,10.2.95.0/24,Switch,1202,NYC-DC2-R4-C2,Active,2024-05-15T23:04:53Z,FOL22L22LL,Cisco,Catalyst 9300-48P,IOS XE 16.1.7,Core Network Team,DHCP,2024-05-15T23:04:53Z,Low,Server Farm,nyc-dc2-s31.enterprise.net,2023-11-18T18:05:26Z,CHG62196
10.5.146.92,18:A9:8B:3F:BC:DF,LON-DC1-S97,10.5.146.0/24,L2 Switch,1764,LON-DC1-R10-C6,Planned,2024-06-01T06:01:13Z,FOX55X55XX,Cisco,Catalyst 9500-32C,IOS XE 17.1.6,Network Operations Team,Static,2024-06-01T06:01:13Z,Medium,IoT Connectivity,lon-dc1-s97.company.com,2023-09-06T22:48:09Z,CHG96628
10.6.179.115,15:B4:DE:8C:1D:26,SYD-DC1-S22,10.6.179.0/24,Switch,629,SYD-DC1-R8-C12,Planned,2024-12-22T14:15:36Z,FOZ22Z22ZZ,Cisco,Catalyst 9500-32C,IOS XE 17.9.0,Global Network Services,Static,2024-12-22T14:15:36Z,Medium,IoT Connectivity,syd-dc1-s22.corp.local,2023-11-24T05:17:28Z,CHG58096
10.5.95.128,C6:3C:86:85:E4:6D,LON-DC1-S15,10.5.95.0/24,Switch,1424,LON-DC1-R2-C18,Planned,2025-01-15T23:05:07Z,FOW11W11WW,Cisco Inc,Nexus 9336C-FX2,IOS XE 17.1.5,Network Operations Team,Static,2025-01-15T23:05:07Z,Low,User Access,lon-dc1-s15.corp.local,2024-03-05T20:09:14Z,CHG57381
10.1.252.7,B8:BC:EF:42:2C:21,NYC-DC1-S18,10.1.252.0/24,Switch,304,NYC-DC1-R8-C15,Planned,2025-01-06T01:23:49Z,FOM77M77MM,Cisco Inc,Nexus 9336C-FX2,IOS XE 16.2.5,Security Infrastructure Team,Reserved,2025-01-06T01:23:49Z,Medium,DMZ,nyc-dc1-s18.corp.local,2024-02-24T18:36:39Z,CHG26912
10.1.155.43,52:A5:73:B1:91:28,NYC-DC1-S67,10.1.155.0/24,Switch,3857,NYC-DC1-R10-C5,Maintenance,2024-12-17T10:25:19Z,FOG44G44GG,Cisco Inc,Nexus 9336C-FX2,IOS XE 16.8.2,Enterprise Network Team,Reserved,2024-12-17T10:25:19Z,High,Voice Network,nyc-dc1-s67.enterprise.net,2024-03-24T19:18:58Z,CHG83874
10.2.107.197,D5:0F:FE:94:9A:F7,NYC-DC1-S06,10.2.107.0/24,Switch,1984,NYC-DC1-R8-C7,Planned,2024-10-10T00:14:34Z,FOZ66Z66ZZ,Cisco Inc,Catalyst 9200-24P,IOS XE 16.2.7,Enterprise Network Team,Static,2024-10-10T00:14:34Z,Low,Voice Network,nyc-dc1-s06.enterprise.net,2024-04-01T03:59:25Z,CHG51853
10.5.54.82,7B:EE:3E:88:E6:7E,LON-DC1-S98,10.5.54.0/24,Switch,3126,LON-DC1-R3-C16,Decommissioned,2024-07-14T07:44:58Z,FOD66D66DD,Cisco Inc,Catalyst 9200-24P,IOS XE 17.9.5,Global Network Services,DHCP,2024-07-14T07:44:58Z,Medium,DMZ,lon-dc1-s98.global.org,2023-05-11T14:23:10Z,CHG21802
10.6.24.13,90:FD:F0:92:04:37,SYD-DC1-S28,10.6.24.0/24,Switch,1485,SYD-DC1-R9-C10,Active,2024-07-16T04:41:11Z,FOE55E55EE,Cisco,Catalyst 9500-32C,IOS XE 16.9.8,Global Network Services,Reserved,2024-07-16T04:41:11Z,Medium,Voice Network,syd-dc1-s28.global.org,2024-02-23T11:07:48Z,CHG82070
10.7.201.96,AD:BB:49:65:CD:14,SIN-DC1-S17,10.7.201.0/24,Switch,666,SIN-DC1-R7-C20,Planned,2024-09-02T07:16:57Z,FOB55B55BB,Cisco,Catalyst 9300-48P,IOS XE 16.5.9,Enterprise Network Team,DHCP,2024-09-02T07:16:57Z,Medium,Server Farm,sin-dc1-s17.global.org,2024-02-01T20:18:04Z,CHG83783
10.1.213.150,9D:0D:F2:87:74:1A,NYC-DC2-S43,10.1.213.0/24,L2 Switch,1285,NYC-DC2-R7-C5,Decommissioned,2024-10-19T21:08:41Z,FOF99F99FF,Cisco,Catalyst 9500-32C,IOS XE 16.3.0,Security Infrastructure Team,DHCP,2024-10-19T21:08:41Z,Low,User Access,nyc-dc2-s43.global.org,2024-04-05T13:37:05Z,CHG18163
10.7.244.135,C0:A0:58:EB:AF:B5,SIN-DC1-S72,10.7.244.0/24,Switch,2888,SIN-DC1-R8-C11,Decommissioned,2025-01-24T15:52:11Z,FOT33T33TT,Cisco,Nexus 9336C-FX2,IOS XE 17.4.3,Network Operations Team,Reserved,2025-01-24T15:52:11Z,Low,Management Network,sin-dc1-s72.enterprise.net,2023-08-22T08:45:32Z,CHG25974
10.7.148.11,93:28:B1:E2:83:F5,SIN-DC1-S45,10.7.148.0/24,Switch,3708,SIN-DC1-R9-C8,Maintenance,2025-01-16T17:40:21Z,FOG88G88GG,Cisco,Catalyst 9200-24P,IOS XE 16.3.0,Core Network Team,Static,2025-01-16T17:40:21Z,High,Management Network,sin-dc1-s45.global.org,2023-09-07T20:55:37Z,CHG71918
10.3.208.168,F3:F4:66:93:A4:92,SFO-DC1-S71,10.3.208.0/24,Switch,1627,SFO-DC1-R8-C6,Planned,2025-03-22T08:20:46Z,FOY99Y99YY,Cisco,Catalyst 9300-48P,IOS XE 17.2.0,Core Network Team,Static,2025-03-22T08:20:46Z,High,IoT Connectivity,sfo-dc1-s71.enterprise.net,2023-12-09T04:09:20Z,CHG89007
10.5.68.218,EF:8B:62:39:A9:53,LON-DC1-S83,10.5.68.0/24,Switch,391,LON-DC1-R3-C5,Decommissioned,2025-01-16T12:17:03Z,FOV22V22VV,Cisco,Catalyst 9500-32C,IOS XE 17.1.6,Network Operations Team,Static,2025-01-16T12:17:03Z,High,Server Farm,lon-dc1-s83.company.com,2023-08-11T21:03:44Z,CHG60275
10.5.133.168,B8:78:1F:3C:EE:9D,LON-DC1-S39,10.5.133.0/24,Switch,628,LON-DC1-R8-C20,Planned,2024-11-03T07:20:45Z,FOM44M44MM,Cisco,Catalyst 9200-24P,IOS XE 16.3.2,Global Network Services,Reserved,2024-11-03T07:20:45Z,Low,Voice Network,lon-dc1-s39.global.org,2024-02-20T17:23:09Z,CHG80453
10.3.228.136,B9:27:39:1F:67:4C,SFO-DC1-S88,10.3.228.0/24,Switch,300,SFO-DC1-R1-C14,Planned,2024-12-12T04:37:09Z,FOO88O88OO,Cisco,Catalyst 9200-24P,IOS XE 17.0.3,Core Network Team,Reserved,2024-12-12T04:37:09Z,Medium,Core Infrastructure,sfo-dc1-s88.company.com,2024-04-29T13:18:37Z,CHG19046
10.5.215.96,C3:E5:C1:C0:29:44,LON-DC1-S24,10.5.215.0/24,Switch,636,LON-DC1-R5-C7,Active,2024-09-13T00:48:36Z,FOY77Y77YY,Cisco,Nexus 9336C-FX2,IOS XE 16.3.7,Core Network Team,Reserved,2024-09-13T00:48:36Z,High,User Access,lon-dc1-s24.global.org,2023-12-27T09:52:01Z,CHG12050
10.1.228.154,18:7D:16:CD:E0:77,NYC-DC1-S77,10.1.228.0/24,Switch,2755,NYC-DC1-R6-C8,Planned,2025-02-25T14:56:43Z,FOY22Y22YY,Cisco,Catalyst 9200-24P,IOS XE 17.9.9,Security Infrastructure Team,Reserved,2025-02-25T14:56:43Z,Medium,Core Infrastructure,nyc-dc1-s77.corp.local,2023-10-10T05:01:40Z,CHG49387
10.7.253.13,B0:C3:A3:D5:D1:4C,SIN-DC1-S81,10.7.253.0/24,Switch,833,SIN-DC1-R6-C3,Decommissioned,2024-08-08T15:05:57Z,FOW77W77WW,Cisco,Nexus 9336C-FX2,IOS XE 16.6.3,Network Operations Team,Static,2024-08-08T15:05:57Z,Medium,Management Network,sin-dc1-s81.corp.local,2023-05-22T14:43:25Z,CHG45187
10.7.111.123,6A:AA:9B:07:6C:61,SIN-DC1-S10,10.7.111.0/24,Switch,2186,SIN-DC1-R6-C10,Planned,2024-10-29T16:08:12Z,FOX33X33XX,Cisco,Catalyst 9300-48P,IOS XE 17.4.6,Network Operations Team,Reserved,2024-10-29T16:08:12Z,Low,Server Farm,sin-dc1-s10.global.org,2023-10-30T13:50:24Z,CHG22924
